#BLTrackFile det3
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-1.36407 -0.0472593 399.5 -24.2099 -19.9074 7956.47 1.33279 211 1 1 0 1 
122.536 430.212 399.5 0.36412 1.2848 0.818415 2.26311 11 1 1083 1 1 
103.281 -60.4332 399.5 0.0220198 -0.0125821 0.0586861 1.41605 22 1 1084 1083 1 
-252.85 -171.044 399.5 -27.8159 -17.8447 10.7058 32.4437 2112 2 1203 1 1 
-50.3916 -26.267 399.5 -0.0181954 -0.00572198 0.0563419 2.10712 22 2 1319 1312 1 
118.727 -129.463 399.5 73.9591 -70.9681 61.973 6.45567 2112 2 1346 1 1 
107.416 44.6499 399.5 3.7181 3.8554 3.27661 112.454 2112 2 1353 1351 1 
35.6013 396.866 399.5 4.51717 34.1684 11.8992 37.3053 2112 2 1413 1411 1 
6.84354 -21.4418 399.5 -5.7088 -18.7674 132.755 4.03206 2112 2 1438 1 1 
74.7476 54.1073 399.5 7.13932 2.27627 5.58165 73.248 2112 2 1592 1590 1 
-99.3675 -8.56351 399.5 -12.8551 -8.47363 20.9451 16.8802 2112 2 1751 1735 1 
64.6248 -19.0023 399.5 6.48476 -0.850355 11.6293 44.7363 2112 2 1786 1784 1 
-42.9228 61.3908 399.5 1.31701 38.197 39.4974 10.4977 2112 2 2033 1991 1 
-19.582 -95.7616 399.5 0.127867 -0.533053 1.01869 1.87888 22 2 2034 1991 1 
-113.261 -153.432 399.5 -15.0373 -21.4551 24.1999 17.314 2112 2 2065 2037 1 
-87.4364 -236.363 399.5 -16.5516 -35.8615 19.1248 21.4246 2112 2 2106 2083 1 
-44.7585 -72.9303 399.5 -5.89636 -23.7962 97.0252 5.10289 2112 2 2146 1991 1 
-43.7644 93.0413 399.5 -3.57684 105.011 85.1002 5.61888 2112 2 2175 1991 1 
-42.9078 30.9739 399.5 -353.473 248.213 839.838 1.53172 2112 2 2176 1 1 
-78.0945 -89.9042 399.5 -125.518 -136.787 171.064 1.5856 -211 2 2177 1 1 
-24.3487 -7.50336 399.5 -111.979 -23.2635 443.337 1.74933 2212 2 2231 1 1 
